objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
C001001,No title,Troop 11,1953-1954,cover of scrapbook,,"Chattanooga, Tennessee",,,Digitized from scrapbook located at the Girl Scout Museum at Daisy’s Place,C001001,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisy’s Place. Contact museum for permissions for reuse.,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/C001001.jpg,,,,
C001002,No title,Troop 11,1953-1955,title of scrapbook,,"Chattanooga, Tennessee",,,Digitized from scrapbook located at the Girl Scout Museum at Daisy’s Place,C001002,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisy’s Place. Contact museum for permissions for reuse.,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/C001002.jpg,,,,
C001003,Girl Scot Troop Certificate,Troop 11,n.d.,a blank girl scout troop certificate,,"Chattanooga, Tennessee",,,Digitized from scrapbook located at the Girl Scout Museum at Daisy’s Place,C001003,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisy’s Place. Contact museum for permissions for reuse.,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/C001003.jpg,,,,
C001004,No title,Troop 11,5/12/1953,"depicts a hand-drawn illustration of two scouts and the phrase ""May 11, 1953, Senior Scout Troop 11 held their invesititure at the First Pilgram's Congregational Church.""",,"Chattanooga, Tennessee",,,Digitized from scrapbook located at the Girl Scout Museum at Daisy’s Place,C001004,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisy’s Place. Contact museum for permissions for reuse.,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/C001004.jpg,,,,
C001005,No title,Troop 11,1953 May 13; 1953 June 5,"Depicts a newspaper clipping discussing Girl Scout meeting reported by Carolyn Woods, along with two handwritten notes congradulating Troop 11",,"Chattanooga, Tennessee",,,Digitized from scrapbook located at the Girl Scout Museum at Daisy’s Place,C001005,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisy’s Place. Contact museum for permissions for reuse.,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/C001005.jpg,,,,
C001006,No title,Troop 11,n.d.,"Depicts a newspaper clipping discussing the election of Barbara Nolting as president of scout troop, along with a folded paper napkin",,"Chattanooga, Tennessee",,,Digitized from scrapbook located at the Girl Scout Museum at Daisy’s Place,C001006,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisy’s Place. Contact museum for permissions for reuse.,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/C001006.jpg,,,,
C001007,Fall Creek Falls 53',Troop 11,5/6/1905,,,"Chattanooga, Tennessee",,,Digitized from scrapbook located at the Girl Scout Museum at Daisy’s Place,C001007,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisy’s Place. Contact museum for permissions for reuse.,,image,/objects/C001007.jpg,,,,
C001008,School Activities,Troop 11,n.d.,,,"Chattanooga, Tennessee",,,Digitized from scrapbook located at the Girl Scout Museum at Daisy’s Place,C001008,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisy’s Place. Contact museum for permissions for reuse.,,image,/objects/C001008.jpg,,,,
C001009,No title,Troop 11,12/3/1954,,,"Chattanooga, Tennessee",,,Digitized from scrapbook located at the Girl Scout Museum at Daisy’s Place,C001009,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisy’s Place. Contact museum for permissions for reuse.,,image,/objects/C001009.jpg,,,,
C001010,No title,Troop 11,4/14/1953,,,"Chattanooga, Tennessee",,,Digitized from scrapbook located at the Girl Scout Museum at Daisy’s Place,C001010,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisy’s Place. Contact museum for permissions for reuse.,,image,/objects/C001010.jpg,,,,
C001011,No title,Troop 11,n.d.,,,"Chattanooga, Tennessee",,,Digitized from scrapbook located at the Girl Scout Museum at Daisy’s Place,C001011,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisy’s Place. Contact museum for permissions for reuse.,,image,/objects/C001011.jpg,,,,
C001012,No title,Troop 11,1953 October 4; 1953 October 2,,,"Chattanooga, Tennessee",,,Digitized from scrapbook located at the Girl Scout Museum at Daisy’s Place,C001012,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisy’s Place. Contact museum for permissions for reuse.,,image,/objects/C001012.jpg,,,,
